"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Mapeo de Modelo Lógico a Informe","Mapping: Mapeo de Modelo Informe a Muestra","Mapping: Mapeo de Modelo Informe a Estadificación TNM","Mapping: Mapeo de Profesional en el Informe","Mapping: Mapeo de Profesional en la solicitud Informe","Mapping: Mapeo de Profesional Intervencionista en la solicitud Informe","Mapping: Mapeo de Solicitud a Perfil Solicitud","Mapping: Mapeo del Rut del Profesional en el Informe","Mapping: Mapeo del Rut del Profesional Solicitante en el Informe","Mapping: Mapeo del Rut del Profesional Interevencionista en el Informe"
"ModeloLogicoInformePatologicoR2BO.muestra","ModeloLogicoInformePatologicoR2BO.muestra","","","",1,1,"","","Y","BackboneElement {[]} {[]}
","Corresponde a la muestra de tejido o células que se analiza en el laboratorio de anatomía patológica, la cual contiene las características macroscópicas y microscópicas del tejido extraído.","Corresponde a la muestra de tejido o células que se analiza en el laboratorio de anatomía patológica, la cual contiene las características macroscópicas y microscópicas del tejido extraído.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.muestra",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ModeloLogicoInformePatologicoR2BO.muestra.id","ModeloLogicoInformePatologicoR2BO.muestra.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ModeloLogicoInformePatologicoR2BO.muestra.extension","ModeloLogicoInformePatologicoR2BO.muestra.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ModeloLogicoInformePatologicoR2BO.muestra.modifierExtension","ModeloLogicoInformePatologicoR2BO.muestra.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ModeloLogicoInformePatologicoR2BO.muestra.IdentificadorDeMuestra","ModeloLogicoInformePatologicoR2BO.muestra.IdentificadorDeMuestra","","","",1,1,"","","Y","Identifier {[]} {[]}
","Cantidad de muestras analizadas.","Cantidad de muestras analizadas.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.muestra.IdentificadorDeMuestra",1,1,"",""
"ModeloLogicoInformePatologicoR2BO.establecimientoQueInforma","ModeloLogicoInformePatologicoR2BO.establecimientoQueInforma","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Corresponde al establecimiento que informa el análisis de la muestra.","Corresponde al establecimiento que informa el análisis de la muestra.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.establecimientoQueInforma",1,1,"","","DiagnosticReport.performer[0]","PractitionerRole.organization"
"ModeloLogicoInformePatologicoR2BO.patologoQueInforma","ModeloLogicoInformePatologicoR2BO.patologoQueInforma","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner]]}
","Corresponde al patólogo que informa el análisis de la muestra.","Corresponde al patólogo que informa el análisis de la muestra.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.patologoQueInforma",1,1,"","","DiagnosticReport.performer[0]","PractitionerRole.practitioner"
"ModeloLogicoInformePatologicoR2BO.rutPatologoQueInforma","ModeloLogicoInformePatologicoR2BO.rutPatologoQueInforma","","","",1,1,"","","Y","string {[]} {[]}
","Corresponde al número identificador único del profesional médico patólogo que informa el análisis de la muestra.","Corresponde al número identificador único del profesional médico patólogo que informa el análisis de la muestra.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.rutPatologoQueInforma",1,1,"","","Practitioner.identifier[run]"
"ModeloLogicoInformePatologicoR2BO.fechaDeInforme","ModeloLogicoInformePatologicoR2BO.fechaDeInforme","","","",1,1,"","","Y","dateTime {[]} {[]}
","Corresponde a la fecha en que se emite el informe con el resultado de la muestra analizada.","Corresponde a la fecha en que se emite el informe con el resultado de la muestra analizada.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.fechaDeInforme",1,1,"","","DiagnosticReport.issued"
"ModeloLogicoInformePatologicoR2BO.descripcionMacroscopica","ModeloLogicoInformePatologicoR2BO.descripcionMacroscopica","","","",1,1,"","","Y","string {[]} {[]}
","se refiere a la evaluación inicial que se realiza sobre la muestra de tejido sin el uso de un microscopio, detallando características visibles a simple vista. Esta fase incluye la observación del tamaño, forma, color, consistencia y cualquier anomalía notable del tejido","se refiere a la evaluación inicial que se realiza sobre la muestra de tejido sin el uso de un microscopio, detallando características visibles a simple vista. Esta fase incluye la observación del tamaño, forma, color, consistencia y cualquier anomalía notable del tejido","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.descripcionMacroscopica",1,1,"","","DiagnosticReport.result"
"ModeloLogicoInformePatologicoR2BO.descripcionMicroscopica","ModeloLogicoInformePatologicoR2BO.descripcionMicroscopica","","","",0,1,"","","Y","string {[]} {[]}
","se refiere al análisis detallado de las células y tejidos de la muestra bajo el microscopio, después de haber sido procesada y teñida en el laboratorio de anatomía patológica. Este examen permite identificar cambios en la estructura celular y la arquitectura del tejido que puedan indicar enfermedades o condiciones anormales.","se refiere al análisis detallado de las células y tejidos de la muestra bajo el microscopio, después de haber sido procesada y teñida en el laboratorio de anatomía patológica. Este examen permite identificar cambios en la estructura celular y la arquitectura del tejido que puedan indicar enfermedades o condiciones anormales.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.descripcionMicroscopica",0,1,"","","DiagnosticReport.result[1]"
"ModeloLogicoInformePatologicoR2BO.lateralidad","ModeloLogicoInformePatologicoR2BO.lateralidad","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","se refiere a la identificación del lado del cuerpo donde se tomó la muestra. Este término es relevante especialmente en órganos o estructuras pares, como mamas, riñones, pulmones, ovarios, o extremidades, para garantizar precisión en el diagnóstico y tratamiento.","se refiere a la identificación del lado del cuerpo donde se tomó la muestra. Este término es relevante especialmente en órganos o estructuras pares, como mamas, riñones, pulmones, ovarios, o extremidades, para garantizar precisión en el diagnóstico y tratamiento.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.lateralidad",1,1,"","","Specimen.collection[0].bodySite.extension"
"ModeloLogicoInformePatologicoR2BO.detalleTopografia","ModeloLogicoInformePatologicoR2BO.detalleTopografia","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","se refiere a la descripción exacta de la localización del tumor dentro de la muestra de tejido extraída durante el procedimiento quirúrgico. Esta variable es fundamental en el informe de patología, ya que proporciona detalles sobre la relación del tumor con las estructuras adyacentes y su posición dentro del tejido extirpado.","se refiere a la descripción exacta de la localización del tumor dentro de la muestra de tejido extraída durante el procedimiento quirúrgico. Esta variable es fundamental en el informe de patología, ya que proporciona detalles sobre la relación del tumor con las estructuras adyacentes y su posición dentro del tejido extirpado.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.detalleTopografia",1,1,"","","Specimen.note"
"ModeloLogicoInformePatologicoR2BO.conclusion","ModeloLogicoInformePatologicoR2BO.conclusion","","","",1,1,"","","Y","string {[]} {[]}
","Todo lo anterior constituye el diagnóstico anatomo patológico.","Todo lo anterior constituye el diagnóstico anatomo patológico.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.conclusion",1,1,"","","DiagnosticReport.conclusion"
"ModeloLogicoInformePatologicoR2BO.topografia","ModeloLogicoInformePatologicoR2BO.topografia","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","El código topográfico indica el lugar de origen de una neoplasia; en otras palabras, dónde se originó el tumor","El código topográfico indica el lugar de origen de una neoplasia; en otras palabras, dónde se originó el tumor","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.topografia",1,1,"","","DiagnosticReport.conclusionCode[1]"
