URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-observaciones-NeoAdyuvancia-VS,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.10",ObservacionNeoAdyuvanciaVS,Set de Valores de Resultados de Observación Post Neoadyuvancia,"Posibles valores para las observaciones realizadas en la evaluación post neoadyuvancia de un reporte de biopsia",,"LOINC"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-observaciones-biopsia-VS,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.11",ObservacionesBiopsiaVS,Set de Valores para Observaciones Biopsia,"Observaciones realizadas durante el informe de biopsia",,"SCT,LOINC"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-procedimientos-biopsias-VS,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.12",ProcedimientosBiopsiaVS,Set de Valores Para Procedimientos,"Set de valores utilizados para los procedimientos al momento de extraer muestras de tejido",,"SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-profesional-autorizado-VS,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.13",ProfesionalesAutorizadosR2BO,Profesionales Autorizados,"Estos son los profesionales autorizados para realizar informes o solicitudes de anatomías patológicas",,"hl7.fhir.cl.minsal.nid"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-reporte-biopsia-vs,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.14",ReporteBiopsiaVS,Set de Valores de los Reportes de Biopsia,"Códigos de tipos de reportes de biopsias en Snomed y LOINC",,"SCT,LOINC"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-tipo-especimen-vs,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.15",TipoEspecimenVS,Set de Valores de los Tipos de Especimen,"Códigos de tipos de especimen en Snomed",,"SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-tnm-categoria-metastasis-distante-patologico-vs,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.17",TNMCategoriaMetastasisDistantePatologicoVS,Set de Valores Categoría TNM Patológico Metastásico Distante,"Set de valores utilizados para la categoría TNM patológico metastásico distante",,
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-tnm-categoria-nodo-regional-patologico-vs,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.18",TNMCategoriaPatologicoNodosRegionalVS,Set de Valores Categoría TNM Patológico Nodos Regional,"Set de valores utilizados para la categoría TNM patológico Nodos Regional",,
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-tnm-categoria-tumor-primario-patologico-vs,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.19",TNMCategoriaTumorPrimarioPatologicoVS,Set de Valores Categoría TNM Patológico Tumor Primario,"Set de valores utilizados para la categoría TNM patológico tumor primaro",,
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-topografica-cie11-VS,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.20",TopograficaCIE11VS,Set de Valores para Topografía,"Set de valores utilizados para la topografía de la CIE-11 para Anatomía y topografía",,"hl7.terminology.r4"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-topografica-cieo-VS,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.21",TopograficaCIEOVS,Set de Valores para Topografía según la CIE-O 3.2,"Set de valores utilizados para la topografía de la CIE-O 3.2 Tográfico",,"THO"
